team_a_name,team_b_name,team_a_pos,team_b_pos,team_a_ft_result,team_b_ft_result,team_a_ht_result,team_b_ht_result,team_a_won_perc,team_b_won_perc,team_a_lost_perc,team_b_lost_perc,team_a_draw_perc,team_b_draw_perc,team_a_avg_game_goals,team_b_avg_game_goals,team_a_avg_goals_scored,team_b_avg_goals_scored,team_a_avg_goals_conc,team_b_avg_goals_conc,team_a_clean_sheet,team_b_clean_sheet,team_a_failed_to_score,team_b_failed_to_score,team_a_o1_team,team_b_o1_team,team_a_o1_team_ag,team_b_o1_team_ag,team_a_btts,team_b_btts,team_a_btts_02,team_b_btts_02,team_a_o0,team_b_o0,team_a_o1,team_b_o1,team_a_02,team_b_02,team_a_o3,team_b_o3,team_a_o4,team_b_o4,team_a_avg_goals_fh,team_b_avg_goals_fh,team_a_avg_goals_fh_scored,team_b_avg_goals_fh_scored,team_a_avg_goals_fh_conc,team_b_avg_goals_fh_conc,team_a_cs_fh,team_b_cs_fh,team_a_fts_fh,team_b_fts_fh,team_a_btts_fh,team_b_btts_fh,team_a_o0_fh,team_b_o0_fh,team_a_o1_fh,team_b_o1_fh,team_a_avg_goals_sh,team_b_avg_goals_sh,team_a_avg_goals_sh_scored,team_b_avg_goals_sh_scored,team_a_avg_goals_sh_conc,team_b_avg_goals_sh_conc,team_a_cs_sh,team_b_cs_sh,team_a_fts_sh,team_b_fts_sh,team_a_btts_sh,team_b_btts_sh,team_a_o0_sh,team_b_o0_sh,team_a_o1_sh,team_b_o1_sh,team_a_avg_game_corners,team_b_avg_game_corners,team_a_o7_game_corners,team_b_o7_game_corners,team_a_o8_game_corners,team_b_o8_game_corners,team_a_o9_game_corners,team_b_o9_game_corners,team_a_o10_game_corners,team_b_o10_game_corners,team_a_avg_game_corners_fh,team_b_avg_game_corners_fh,team_a_o2_corners_fh,team_b_o2_corners_fh,team_a_o3_corners_fh,team_b_o3_corners_fh,team_a_o4_corners_fh,team_b_o4_corners_fh,team_a_avg_game_corners_sh,team_b_avg_game_corners_sh,team_a_o3_corners_sh,team_b_o3_corners_sh,team_a_o4_corners_sh,team_b_o4_corners_sh,team_a_o5_corners_sh,team_b_o5_corners_sh,team_a_avg_corners_for,team_b_avg_corners_for,team_a_avg_corners_ag,team_b_avg_corners_ag,team_a_o3_team_corners,team_b_o3_team_corners,team_a_o4_team_corners,team_b_o4_team_corners,team_a_o5_team_corners,team_b_o5_team_corners,team_a_o0_team_corners_fh,team_b_o0_team_corners_fh,team_a_o1_team_corners_fh,team_b_o1_team_corners_fh,team_a_o2_team_corners_fh,team_b_o2_team_corners_fh,team_a_o3_team_corners_fh,team_b_o3_team_corners_fh,team_a_o0_team_corners_sh,team_b_o0_team_corners_sh,team_a_o1_team_corners_sh,team_b_o1_team_corners_sh,team_a_o2_team_corners_sh,team_b_o2_team_corners_sh,team_a_o3_team_corners_sh,team_b_o3_team_corners_sh,team_a_corners_result,team_b_corners_result,team_a_corners_result_fh,team_b_corners_result_fh,team_a_corners_result_sh,team_b_corners_result_sh
Qarabağ,Sumqayıt,0.125,0.875,5,0,4,0,0.6,0.0,0.0,0.4,0.4,0.6,4.4,2.0,3.8,0.8,0.6,1.2,0.4,0.0,0.2,0.2,0.6,0.0,0.0,0.2,0.6,0.8,0.4,0.2,0.8,1.0,0.8,0.8,0.6,0.2,0.6,0.0,0.6,0.0,2.2,1.0,2.0,0.4,0.2,0.6,0.8,0.4,0.4,0.6,0.2,0.2,0.6,0.8,0.6,0.2,2.2,1.0,1.8,0.4,0.4,0.6,0.6,0.4,0.2,0.6,0.4,0.0,0.8,1.0,0.6,0.0,11.2,9.4,0.8,1.0,0.6,0.6,0.6,0.4,0.6,0.2,4.0,6.6,0.8,1.0,0.4,1.0,0.2,0.8,7.2,2.8,0.8,0.4,0.8,0.2,0.6,0.0,9.2,5.2,2.8,4.2,1.0,0.6,0.8,0.6,0.8,0.4,1.0,1.0,0.8,0.8,0.6,0.8,0.2,0.6,1.0,0.8,1.0,0.6,0.8,0.2,0.8,0.0,1,1,0,0,1,1
Bangladesh Police,Bashundhara Kings,0.5833333333333334,0.08333333333333333,1,2,0,2,0.4,0.8,0.4,0.0,0.2,0.2,3.8,2.6,1.6,1.8,2.2,0.8,0.2,0.6,0.0,0.0,0.2,0.6,0.6,0.4,0.8,0.4,0.6,0.4,1.0,1.0,0.8,0.6,0.6,0.4,0.4,0.4,0.4,0.2,1.2,1.0,0.6,0.6,0.6,0.4,0.8,0.6,0.4,0.6,0.2,0.0,0.6,0.8,0.2,0.2,2.6,1.6,1.0,1.2,1.6,0.4,0.2,0.6,0.4,0.4,0.4,0.4,1.0,0.6,0.8,0.4,7.6,6.0,0.6,0.25,0.4,0.0,0.4,0.0,0.0,0.0,3.8,4.75,0.8,0.75,0.8,0.75,0.2,0.5,3.8,1.25,0.6,0.0,0.2,0.0,0.2,0.0,4.0,4.75,3.6,1.25,0.4,0.75,0.4,0.75,0.2,0.25,1.0,1.0,0.8,0.75,0.6,0.75,0.0,0.75,0.8,1.0,0.6,0.25,0.2,0.0,0.0,0.0,3,3,2,2,1,1
Sheikh Jamal,Rahmatgonj MFS,0.25,0.8333333333333334,1,0,1,0,0.6,0.2,0.0,0.6,0.4,0.2,1.8,3.4,1.2,1.2,0.6,2.2,0.4,0.2,0.2,0.2,0.4,0.4,0.0,0.6,0.6,0.6,0.4,0.4,0.8,1.0,0.6,0.8,0.4,0.6,0.0,0.4,0.0,0.4,1.0,2.2,0.8,0.6,0.2,1.6,0.8,0.2,0.2,0.6,0.2,0.4,0.8,0.8,0.2,0.8,0.8,1.2,0.4,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.4,0.2,0.4,0.6,0.4,0.2,7.8,9.0,0.4,0.8,0.4,0.8,0.2,0.4,0.0,0.2,3.8,3.2,0.6,0.6,0.6,0.6,0.4,0.2,4.0,5.8,0.8,0.8,0.4,0.8,0.0,0.8,3.8,3.6,4.0,5.4,0.4,0.6,0.2,0.0,0.2,0.0,1.0,0.8,0.8,0.4,0.4,0.0,0.2,0.0,1.0,1.0,0.2,0.6,0.2,0.6,0.0,0.2,0,0,0,2,1,0
Mohammedan Dhaka,Saif,0.5,0.3333333333333333,1,3,0,2,0.4,0.4,0.0,0.4,0.6,0.2,3.2,4.8,1.8,2.8,1.4,2.0,0.2,0.2,0.2,0.0,0.6,0.6,0.4,0.6,0.8,0.8,0.6,0.8,0.8,1.0,0.8,0.8,0.6,0.8,0.4,0.6,0.4,0.6,1.8,2.4,1.4,1.2,0.4,1.2,0.8,0.4,0.2,0.4,0.2,0.6,0.8,0.6,0.6,0.6,1.4,2.4,0.4,1.6,1.0,0.8,0.2,0.6,0.8,0.0,0.2,0.4,0.8,1.0,0.4,0.6,10.6,8.8,0.8,0.6,0.6,0.4,0.6,0.4,0.6,0.4,4.8,3.4,0.6,0.6,0.6,0.4,0.4,0.2,5.8,5.4,1.0,0.8,1.0,0.8,0.4,0.4,4.0,5.4,6.6,3.4,0.8,0.8,0.4,0.8,0.0,0.4,0.8,0.8,0.6,0.4,0.4,0.2,0.0,0.2,1.0,1.0,0.4,0.8,0.4,0.8,0.2,0.6,0,0,3,2,1,0
Abahani,Sheikh Russel,0.16666666666666666,0.6666666666666666,1,1,1,0,0.6,0.4,0.2,0.4,0.2,0.2,4.4,2.4,2.6,1.2,1.8,1.2,0.0,0.2,0.0,0.2,1.0,0.4,0.6,0.2,1.0,0.6,1.0,0.4,1.0,1.0,1.0,0.6,1.0,0.4,0.6,0.2,0.4,0.2,1.5,1.4,0.75,0.8,0.75,0.6,0.5,0.6,0.25,0.4,0.5,0.2,0.75,0.8,0.5,0.2,2.25,1.0,1.25,0.4,1.0,0.6,0.25,0.4,0.0,0.6,0.75,0.4,1.0,0.6,0.75,0.4,9.67,9.5,0.67,1.0,0.33,0.75,0.33,0.5,0.33,0.25,4.33,4.25,1.0,1.0,0.33,0.75,0.33,0.5,5.33,5.25,1.0,1.0,0.67,0.75,0.33,0.5,6.0,3.0,3.67,6.5,0.67,0.5,0.67,0.5,0.33,0.0,1.0,0.75,1.0,0.25,0.33,0.25,0.33,0.0,1.0,0.75,0.67,0.5,0.67,0.25,0.33,0.25,6,7,2,2,4,5
Anderlecht,Antwerp,0.75,1.0,2,1,2,0,0.8,0.4,0.0,0.6,0.2,0.0,2.4,2.2,2.2,0.8,0.2,1.4,0.8,0.4,0.2,0.2,0.8,0.0,0.0,0.4,0.2,0.4,0.2,0.4,0.8,1.0,0.8,0.4,0.6,0.4,0.2,0.2,0.0,0.2,1.0,1.4,0.8,0.6,0.2,0.8,0.8,0.4,0.4,0.4,0.2,0.4,0.6,0.8,0.4,0.4,1.4,0.8,1.4,0.2,0.0,0.6,1.0,0.6,0.4,0.8,0.0,0.0,0.6,0.6,0.4,0.2,7.6,9.2,0.4,1.0,0.2,0.8,0.0,0.4,0.0,0.0,4.6,6.0,1.0,1.0,0.8,1.0,0.8,1.0,3.0,3.2,0.4,0.4,0.0,0.0,0.0,0.0,4.4,4.6,3.2,4.6,0.8,0.4,0.6,0.4,0.2,0.2,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.4,0.6,1.0,0.6,0.4,0.4,0.0,0.0,0.0,9,2,4,1,5,1
Club Universitario,Oriente Petrolero,0.75,0.375,1,1,1,0,0.4,0.2,0.6,0.4,0.0,0.4,2.6,2.2,1.4,1.0,1.2,1.2,0.4,0.2,0.2,0.2,0.6,0.2,0.4,0.4,0.4,0.8,0.4,0.6,1.0,0.8,0.8,0.8,0.4,0.6,0.2,0.0,0.2,0.0,1.0,1.4,0.6,0.8,0.4,0.6,0.6,0.6,0.4,0.4,0.0,0.2,1.0,0.8,0.0,0.4,1.6,0.8,0.8,0.2,0.8,0.6,0.6,0.6,0.4,0.8,0.2,0.0,0.8,0.6,0.4,0.2,9.6,8.6,0.6,0.6,0.6,0.4,0.6,0.4,0.4,0.2,3.6,3.8,0.8,0.8,0.6,0.6,0.2,0.4,6.0,4.8,1.0,0.6,0.8,0.6,0.6,0.4,3.4,4.6,6.2,4.0,0.6,0.6,0.4,0.6,0.0,0.4,0.6,0.8,0.2,0.8,0.0,0.8,0.0,0.2,0.8,0.6,0.8,0.6,0.4,0.4,0.4,0.4,7,3,3,1,4,2
Aurora,Santa Cruz,0.625,1.0,2,4,1,2,0.6,0.2,0.2,0.6,0.2,0.2,2.0,3.2,1.4,1.0,0.6,2.2,0.6,0.0,0.0,0.4,0.2,0.2,0.2,0.6,0.4,0.6,0.2,0.4,1.0,1.0,0.6,0.8,0.4,0.6,0.0,0.4,0.0,0.4,0.4,0.4,0.2,0.4,0.2,0.0,0.8,1.0,0.8,0.6,0.0,0.0,0.4,0.4,0.0,0.0,1.6,2.8,1.2,0.6,0.4,2.2,0.8,0.0,0.2,0.6,0.2,0.4,0.8,1.0,0.4,0.8,7.2,10.8,0.4,0.8,0.2,0.8,0.2,0.8,0.2,0.6,4.0,5.6,0.6,1.0,0.4,0.6,0.4,0.6,3.2,5.2,0.4,0.8,0.4,0.4,0.0,0.4,5.6,2.8,1.6,8.0,0.8,0.0,0.8,0.0,0.6,0.0,1.0,0.8,1.0,0.8,0.4,0.0,0.4,0.0,0.8,0.8,0.6,0.2,0.4,0.2,0.2,0.0,2,4,1,3,1,1
Austria Wien II,Rapid Wien II,0.875,0.6875,3,3,2,3,0.2,0.2,0.6,0.4,0.2,0.4,3.4,3.0,1.2,1.4,2.2,1.6,0.4,0.0,0.4,0.0,0.2,0.4,0.6,0.6,0.4,1.0,0.4,0.8,0.8,1.0,0.8,1.0,0.8,0.8,0.6,0.2,0.4,0.0,1.2,1.4,0.4,0.8,0.8,0.6,0.4,0.6,0.8,0.2,0.0,0.4,0.8,0.8,0.4,0.4,2.2,1.6,0.8,0.6,1.4,1.0,0.4,0.2,0.4,0.4,0.4,0.4,0.8,1.0,0.8,0.4,9.8,12.0,0.8,0.8,0.8,0.8,0.6,0.8,0.4,0.8,4.2,5.4,0.6,0.8,0.4,0.6,0.4,0.6,5.6,6.6,1.0,0.8,0.6,0.8,0.4,0.6,5.4,6.0,4.4,6.0,0.6,1.0,0.4,0.8,0.4,0.4,0.8,1.0,0.6,1.0,0.4,0.2,0.4,0.0,1.0,1.0,0.6,1.0,0.4,0.8,0.4,0.4,3,6,2,2,1,4
Amstetten,Grazer AK,0.3125,0.4375,3,0,0,0,0.4,0.2,0.4,0.4,0.2,0.4,1.4,3.2,0.6,1.8,0.8,1.4,0.4,0.2,0.6,0.0,0.2,0.4,0.2,0.4,0.2,0.8,0.2,0.4,0.8,1.0,0.4,1.0,0.2,0.6,0.0,0.4,0.0,0.2,0.4,1.8,0.2,1.2,0.2,0.6,0.8,0.6,0.8,0.2,0.0,0.2,0.4,1.0,0.0,0.4,1.0,1.4,0.4,0.6,0.6,0.8,0.4,0.4,0.8,0.4,0.2,0.2,0.6,1.0,0.2,0.4,15.0,13.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,6.4,5.8,1.0,1.0,1.0,0.8,1.0,0.8,8.6,7.2,1.0,1.0,1.0,1.0,1.0,0.8,8.0,6.0,7.0,7.0,0.8,1.0,0.8,1.0,0.8,0.6,1.0,1.0,0.8,1.0,0.6,0.4,0.6,0.2,0.8,1.0,0.8,1.0,0.6,0.8,0.6,0.4,5,4,2,3,3,1
Lafnitz,Floridsdorfer AC,0.25,0.125,1,0,1,0,0.8,0.6,0.0,0.2,0.2,0.2,2.6,2.2,1.8,1.8,0.8,0.4,0.6,0.6,0.0,0.2,0.6,0.4,0.4,0.0,0.4,0.2,0.4,0.0,1.0,1.0,0.6,0.6,0.4,0.4,0.4,0.2,0.2,0.0,2.0,1.0,1.6,0.6,0.4,0.4,0.8,0.6,0.0,0.6,0.2,0.0,1.0,0.8,0.6,0.2,0.6,1.2,0.2,1.2,0.4,0.0,0.8,1.0,0.8,0.4,0.0,0.0,0.4,0.6,0.2,0.4,9.0,7.0,0.8,0.6,0.8,0.4,0.4,0.0,0.0,0.0,3.8,4.4,0.8,1.0,0.4,0.8,0.4,0.4,5.2,2.6,1.0,0.2,0.8,0.2,0.4,0.0,6.0,4.2,3.0,2.8,1.0,0.6,0.8,0.6,0.6,0.0,1.0,1.0,0.8,1.0,0.4,0.8,0.2,0.0,1.0,0.6,1.0,0.6,1.0,0.2,0.4,0.0,0,1,2,1,0,2
Bordeaux,Lorient,1.0,0.85,0,0,0,0,0.2,0.4,0.6,0.6,0.2,0.0,2.6,3.4,1.0,1.0,1.6,2.4,0.0,0.4,0.6,0.2,0.4,0.2,0.6,0.6,0.4,0.4,0.4,0.4,1.0,1.0,0.8,0.8,0.4,0.6,0.4,0.4,0.0,0.4,1.4,0.8,0.4,0.0,1.0,0.8,0.2,0.6,0.8,1.0,0.2,0.0,0.8,0.4,0.4,0.4,1.2,2.6,0.6,1.0,0.6,1.6,0.4,0.4,0.8,0.2,0.0,0.4,0.8,1.0,0.2,0.8,10.0,6.0,0.8,0.2,0.6,0.2,0.4,0.2,0.4,0.0,4.6,3.0,0.8,0.8,0.6,0.2,0.6,0.0,5.4,3.0,0.8,0.2,0.6,0.2,0.4,0.2,5.8,2.8,4.2,3.2,0.8,0.4,0.8,0.2,0.4,0.2,0.8,0.8,0.6,0.2,0.4,0.0,0.2,0.0,1.0,0.8,0.8,0.4,0.4,0.2,0.4,0.2,3,1,1,0,2,1
Olympique Lyonnais,Nantes,0.4,0.45,3,2,1,0,0.6,0.2,0.4,0.4,0.0,0.4,5.2,3.4,3.2,1.6,2.0,1.8,0.0,0.0,0.2,0.2,0.8,0.6,0.6,0.6,0.8,0.8,0.8,0.6,1.0,1.0,0.8,0.8,0.8,0.6,0.8,0.6,0.8,0.4,2.4,1.6,1.2,1.2,1.2,0.4,0.4,0.6,0.4,0.2,0.2,0.2,1.0,1.0,0.6,0.4,2.8,1.8,2.0,0.4,0.8,1.4,0.4,0.2,0.2,0.8,0.6,0.2,0.8,0.8,0.8,0.6,9.8,10.6,1.0,1.0,0.8,1.0,0.8,0.8,0.2,0.6,5.0,5.6,1.0,1.0,1.0,0.8,0.8,0.8,4.8,5.0,1.0,0.6,0.8,0.6,0.0,0.4,7.0,4.6,2.8,6.0,0.8,0.8,0.8,0.6,0.8,0.2,1.0,0.8,1.0,0.8,0.8,0.6,0.6,0.4,1.0,0.8,0.8,0.4,0.8,0.4,0.6,0.2,5,6,4,1,1,5
Metz,Angers SCO,0.95,0.7,1,0,0,0,0.2,0.0,0.4,0.6,0.4,0.4,2.2,3.0,1.0,1.0,1.2,2.0,0.2,0.0,0.4,0.4,0.2,0.4,0.4,0.8,0.6,0.6,0.4,0.4,0.8,1.0,0.6,1.0,0.4,0.4,0.2,0.4,0.2,0.2,1.2,1.2,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.4,0.0,0.6,1.0,0.4,0.2,1.0,1.8,0.4,0.4,0.6,1.4,0.6,0.0,0.6,0.8,0.4,0.2,0.4,1.0,0.4,0.4,9.6,13.0,1.0,1.0,1.0,0.8,0.4,0.8,0.2,0.8,3.4,7.0,0.8,1.0,0.4,1.0,0.2,1.0,6.2,6.0,1.0,0.8,1.0,0.8,0.6,0.4,3.0,4.6,6.6,8.4,0.4,0.8,0.2,0.6,0.0,0.2,0.4,0.8,0.2,0.6,0.0,0.4,0.0,0.2,0.8,1.0,0.6,0.8,0.6,0.6,0.2,0.2,1,4,1,1,0,3
Monaco,Brest,0.15,0.55,4,2,1,2,0.8,0.6,0.2,0.4,0.0,0.0,2.4,1.8,1.8,1.0,0.6,0.8,0.6,0.4,0.0,0.2,0.6,0.2,0.2,0.2,0.4,0.4,0.4,0.4,1.0,1.0,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.4,0.2,0.6,0.8,0.6,0.2,0.6,0.2,0.2,0.8,0.6,0.2,0.2,1.4,0.8,1.0,0.6,0.4,0.2,0.8,0.8,0.2,0.6,0.2,0.2,0.8,0.4,0.4,0.2,13.4,10.8,1.0,0.8,1.0,0.8,1.0,0.8,1.0,0.6,7.2,4.2,1.0,0.6,1.0,0.6,1.0,0.4,6.2,6.6,0.8,0.6,0.6,0.6,0.6,0.4,8.2,5.2,5.2,5.6,1.0,0.6,1.0,0.6,1.0,0.4,1.0,0.8,1.0,0.2,1.0,0.2,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.4,0.6,0.4,10,5,6,5,4,0
Montpellier,Paris Saint Germain,0.65,0.05,0,4,0,3,0.0,0.4,0.4,0.4,0.6,0.2,2.6,4.0,1.0,2.4,1.6,1.6,0.4,0.2,0.4,0.4,0.4,0.6,0.6,0.4,0.6,0.4,0.6,0.4,0.6,1.0,0.6,0.8,0.6,0.8,0.4,0.4,0.2,0.4,1.0,1.6,0.4,1.0,0.6,0.6,0.6,0.4,0.8,0.4,0.2,0.4,0.4,0.8,0.2,0.6,1.6,2.4,0.6,1.4,1.0,1.0,0.4,0.4,0.6,0.4,0.4,0.2,0.6,1.0,0.6,0.6,11.6,8.8,1.0,0.4,0.8,0.4,0.6,0.4,0.6,0.2,6.8,4.6,1.0,1.0,1.0,0.4,1.0,0.2,4.8,4.2,0.4,0.8,0.4,0.2,0.4,0.2,8.8,5.6,2.8,3.2,1.0,1.0,1.0,0.8,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.2,1.0,1.0,0.6,1.0,0.4,0.4,0.4,0.2,0,2,0,1,0,1
Nice,Lille,0.2,0.5,1,3,1,0,0.8,0.4,0.0,0.4,0.2,0.2,2.6,2.0,1.8,0.8,0.8,1.2,0.4,0.4,0.0,0.2,0.4,0.0,0.2,0.4,0.6,0.4,0.4,0.2,1.0,1.0,0.6,0.6,0.4,0.4,0.2,0.0,0.2,0.0,0.4,0.8,0.0,0.4,0.4,0.4,0.8,0.6,1.0,0.6,0.0,0.0,0.2,0.8,0.2,0.0,2.2,1.2,1.8,0.4,0.4,0.8,0.6,0.4,0.0,0.6,0.4,0.4,1.0,0.6,0.6,0.6,9.0,9.8,0.4,0.6,0.4,0.6,0.4,0.6,0.2,0.4,3.4,5.0,0.8,0.6,0.6,0.6,0.2,0.6,5.6,4.8,0.6,0.8,0.4,0.8,0.2,0.2,4.8,4.6,4.2,5.2,0.6,0.6,0.6,0.4,0.4,0.4,1.0,0.8,0.6,0.8,0.4,0.4,0.2,0.2,1.0,1.0,0.8,0.8,0.4,0.2,0.2,0.2,10,3,5,2,5,1
Rennes,Olympique Marseille,0.25,0.1,2,0,2,0,0.8,0.8,0.2,0.2,0.0,0.0,4.2,3.6,3.4,2.6,0.8,1.0,0.6,0.4,0.0,0.0,1.0,0.6,0.2,0.4,0.4,0.6,0.4,0.6,1.0,1.0,1.0,0.8,0.6,0.8,0.6,0.4,0.6,0.4,1.8,1.4,1.6,0.8,0.2,0.6,0.8,0.6,0.0,0.2,0.2,0.4,1.0,0.8,0.6,0.4,2.4,2.2,1.8,1.8,0.6,0.4,0.6,0.6,0.0,0.2,0.4,0.4,1.0,0.8,0.6,0.6,8.8,8.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5.2,5.2,1.0,0.8,0.6,0.6,0.4,0.6,3.6,2.8,0.4,0.4,0.2,0.0,0.0,0.0,5.8,5.6,3.0,2.4,0.8,0.8,0.6,0.4,0.6,0.4,1.0,1.0,0.8,0.8,0.6,0.4,0.4,0.4,1.0,0.8,0.8,0.6,0.4,0.2,0.2,0.0,6,1,3,0,3,1
Saint-Étienne,Reims,0.9,0.6,1,2,1,1,0.4,0.6,0.4,0.2,0.2,0.2,3.4,1.6,1.4,1.0,2.0,0.6,0.2,0.4,0.0,0.4,0.4,0.4,0.4,0.0,0.8,0.4,0.6,0.4,1.0,0.8,0.8,0.4,0.6,0.4,0.4,0.0,0.4,0.0,1.8,0.6,0.8,0.4,1.0,0.2,0.2,0.8,0.4,0.6,0.6,0.2,0.8,0.4,0.6,0.2,1.6,1.0,0.6,0.6,1.0,0.4,0.6,0.6,0.4,0.6,0.2,0.2,0.8,0.6,0.4,0.2,8.6,10.6,0.6,0.8,0.6,0.8,0.6,0.6,0.4,0.4,5.2,5.0,0.8,1.0,0.6,0.6,0.6,0.6,3.4,5.6,0.6,0.8,0.2,0.6,0.0,0.6,4.6,3.4,4.0,7.2,0.4,0.2,0.4,0.2,0.4,0.2,0.6,1.0,0.4,0.6,0.4,0.0,0.4,0.0,0.8,0.8,0.6,0.6,0.4,0.2,0.0,0.2,3,2,3,0,0,2
Strasbourg,Clermont,0.3,0.8,1,0,1,0,0.6,0.2,0.0,0.6,0.4,0.2,2.6,2.6,1.6,0.6,1.0,2.0,0.4,0.2,0.0,0.4,0.4,0.0,0.2,0.6,0.6,0.4,0.4,0.2,1.0,1.0,0.6,0.8,0.4,0.4,0.2,0.4,0.2,0.0,1.0,1.2,0.8,0.4,0.2,0.8,0.8,0.4,0.2,0.6,0.2,0.4,0.8,0.6,0.2,0.4,1.6,1.4,0.8,0.2,0.8,1.2,0.4,0.4,0.4,0.8,0.4,0.0,0.8,0.8,0.4,0.4,9.0,9.6,0.8,0.6,0.4,0.6,0.2,0.2,0.2,0.2,4.0,4.2,1.0,1.0,0.8,0.8,0.2,0.2,5.0,5.4,1.0,0.4,0.4,0.4,0.2,0.2,3.4,5.6,5.6,4.0,0.4,0.4,0.4,0.4,0.2,0.4,0.6,1.0,0.4,0.6,0.2,0.2,0.0,0.2,1.0,0.8,0.8,0.4,0.2,0.4,0.2,0.4,3,2,2,1,1,1
Troyes,Lens,0.75,0.35,1,3,1,2,0.6,0.4,0.2,0.2,0.2,0.4,1.6,1.8,1.2,1.0,0.4,0.8,0.6,0.2,0.2,0.4,0.2,0.4,0.0,0.0,0.2,0.6,0.0,0.4,1.0,0.8,0.4,0.6,0.2,0.4,0.0,0.0,0.0,0.0,0.4,0.8,0.4,0.4,0.0,0.4,1.0,0.6,0.6,0.8,0.0,0.2,0.4,0.4,0.0,0.2,1.2,1.0,0.8,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.2,0.2,0.8,0.6,0.4,0.4,9.4,11.4,0.6,0.8,0.6,0.6,0.4,0.4,0.4,0.4,4.0,5.2,0.8,1.0,0.6,0.6,0.4,0.4,5.4,6.2,0.6,1.0,0.6,0.6,0.6,0.6,5.0,6.0,4.4,5.4,0.8,0.8,0.8,0.6,0.4,0.6,0.8,1.0,0.8,0.8,0.2,0.8,0.2,0.4,1.0,1.0,0.8,0.8,0.8,0.6,0.2,0.2,7,5,6,0,1,5
Borussia Dortmund,Hertha BSC,0.1111111111111111,0.8333333333333334,2,1,0,1,0.6,0.2,0.4,0.6,0.0,0.2,5.2,2.2,3.4,0.6,1.8,1.6,0.4,0.2,0.0,0.4,0.6,0.0,0.4,0.6,0.6,0.4,0.6,0.2,1.0,1.0,0.8,0.8,0.8,0.4,0.8,0.0,0.8,0.0,2.8,1.0,2.0,0.2,0.8,0.8,0.6,0.4,0.2,0.8,0.2,0.2,1.0,0.6,0.8,0.2,2.4,1.2,1.4,0.4,1.0,0.8,0.4,0.4,0.2,0.6,0.6,0.2,0.8,0.8,0.8,0.4,10.8,8.6,1.0,0.8,1.0,0.4,0.8,0.2,0.4,0.2,4.4,3.2,1.0,0.6,0.8,0.2,0.4,0.2,6.4,5.4,1.0,0.8,1.0,0.8,0.6,0.4,7.0,5.6,4.8,3.0,1.0,0.8,0.6,0.8,0.6,0.8,1.0,0.8,1.0,0.6,0.6,0.4,0.4,0.0,1.0,1.0,1.0,0.8,0.6,0.8,0.6,0.6,3,1,2,1,1,0
VfL Wolfsburg,FC Bayern München,0.7222222222222222,0.05555555555555555,2,2,1,2,0.6,0.6,0.4,0.2,0.0,0.2,3.0,3.0,2.2,2.0,0.8,1.0,0.6,0.4,0.2,0.0,0.4,0.4,0.4,0.2,0.2,0.6,0.2,0.4,1.0,1.0,0.8,0.8,0.6,0.6,0.4,0.4,0.2,0.2,1.8,1.4,1.8,0.8,0.0,0.6,1.0,0.6,0.2,0.4,0.0,0.4,0.8,0.6,0.4,0.6,1.2,1.6,0.4,1.2,0.8,0.4,0.6,0.6,0.8,0.4,0.0,0.2,0.6,0.8,0.6,0.2,9.4,10.4,0.4,0.8,0.4,0.8,0.4,0.6,0.4,0.4,3.8,6.2,0.6,1.0,0.4,1.0,0.2,1.0,5.6,4.2,0.8,0.8,0.6,0.2,0.4,0.2,4.6,6.8,4.8,3.6,0.6,1.0,0.6,0.8,0.4,0.8,0.8,1.0,0.8,1.0,0.6,0.6,0.2,0.6,0.8,1.0,0.6,1.0,0.4,0.6,0.2,0.4,2,12,2,5,0,7
Bayer 04 Leverkusen,SC Freiburg,0.16666666666666666,0.2777777777777778,2,1,0,0,0.6,0.6,0.4,0.0,0.0,0.4,2.0,3.0,1.4,1.8,0.6,1.2,0.4,0.2,0.4,0.2,0.6,0.6,0.0,0.2,0.2,0.8,0.2,0.6,1.0,0.8,0.6,0.8,0.4,0.6,0.0,0.2,0.0,0.2,1.0,1.4,0.8,1.0,0.2,0.4,0.8,0.6,0.4,0.2,0.2,0.4,0.6,0.8,0.2,0.4,1.0,1.6,0.6,0.8,0.4,0.8,0.6,0.4,0.6,0.6,0.0,0.4,0.8,0.6,0.2,0.4,7.6,9.4,0.6,0.6,0.2,0.6,0.0,0.4,0.0,0.4,2.6,4.4,0.4,0.6,0.2,0.6,0.0,0.6,5.0,5.0,0.8,1.0,0.8,0.4,0.4,0.2,5.4,5.0,2.2,4.4,0.8,0.8,0.6,0.4,0.6,0.2,0.8,1.0,0.6,0.6,0.2,0.6,0.0,0.4,1.0,0.6,1.0,0.4,0.8,0.4,0.6,0.2,6,8,3,3,3,5
